152,117,115,,
246,187,171,,
255,238,236,,
235,189,189,,
214,185,177,,
235,200,181,,
197,147,122,,
248,216,167,,
159,103,76,,
139,80,64,,
169,151,167,,
154,117,109,,
221,192,188,,
252,208,233,,
234,180,156,,
180,141,126,,
234,194,205,,
212,160,147,,
225,153,131,,
160,105,102,,
238,186,162,,
232,182,155,,
236,207,209,,
252,203,206,,
129,98,54,,
245,239,243,,
226,200,203,,
189,148,128,,
226,201,196,,
252,208,179,,
190,158,197,,
226,167,127,,
224,168,145,,
225,172,154,,
215,138,144,,
212,141,139,,
233,159,156,,
255,219,232,,
228,182,192,,
228,164,154,,
196,121,98,,
223,170,164,,
198,146,132,,
243,191,178,,
90,48,34,,
212,154,153,,
241,199,209,,
170,128,112,,
232,167,137,,
174,136,127,,
255,223,214,,
202,152,153,,
194,131,116,,
219,164,170,,
248,215,222,,
237,182,177,,
232,183,168,,
186,155,137,,
252,188,179,,
226,155,125,,
148,114,112,,
121,86,80,,
110,92,88,,
186,166,131,,
238,180,132,,
131,88,98,,
159,131,146,,
176,99,79,,
211,130,109,,
177,123,85,,
206,128,79,,
117,75,59,,
214,188,191,,
187,161,164,,
244,225,231,,
154,100,62,,
200,129,51,,
122,80,56,,
108,74,39,,
144,79,51,,
167,98,57,,
158,97,68,,
203,131,55,,
104,67,58,,
191,123,40,,
222,155,68,,
143,85,37,,
87,65,41,,
174,106,43,,
194,167,173,,
166,142,147,,
207,150,116,,
186,135,106,,
